epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2477.04,2.12393,2.65883,1.61477,0.69542,0.11039,0.13909,0.07414,2.14785,2.96646,1.69268,0.005842,0.005842,0.005842
44,2535.22,2.0705,2.60029,1.56148,0.79835,0.12987,0.16212,0.06464,2.24076,2.91699,1.76095,0.005743,0.005743,0.005743
45,2592.92,2.11344,2.65797,1.60917,0.59648,0.04545,0.0251,0.01042,2.60276,3.92853,1.98765,0.005644,0.005644,0.005644
46,2650.01,2.13723,2.78337,1.58484,0.77945,0.17282,0.17498,0.07748,2.10639,2.79351,1.72981,0.005545,0.005545,0.005545
47,2708.38,2.11647,2.66189,1.61228,0.79158,0.16883,0.17981,0.06749,2.23563,2.914,1.78537,0.005446,0.005446,0.005446
48,2766.56,2.0705,2.50865,1.6082,0.79561,0.12987,0.16073,0.08447,2.12793,2.83242,1.69427,0.005347,0.005347,0.005347
49,2826.93,2.10295,2.54596,1.61123,0.72977,0.14935,0.16215,0.06895,2.27013,2.97627,1.77245,0.005248,0.005248,0.005248
50,2885.42,2.05689,2.6074,1.57832,0.8231,0.14286,0.17914,0.07672,2.12592,2.73805,1.70842,0.005149,0.005149,0.005149
51,2944.3,1.94808,2.43148,1.53429,0.81732,0.15794,0.19077,0.07913,2.10047,2.8718,1.68367,0.00505,0.00505,0.00505
52,3002.49,2.1176,2.59328,1.62203,0.90054,0.13636,0.18013,0.09015,2.10493,2.74515,1.68353,0.004951,0.004951,0.004951
53,3063.27,2.06802,2.57854,1.58252,0.70934,0.15584,0.14822,0.06876,2.18502,2.92363,1.68628,0.004852,0.004852,0.004852
54,3122.05,1.95662,2.34144,1.54959,0.76797,0.16234,0.18297,0.0739,2.27822,2.759,1.77946,0.004753,0.004753,0.004753
55,3180.32,2.04869,2.58326,1.53902,0.78621,0.09091,0.10381,0.04376,2.4414,3.61345,1.82595,0.004654,0.004654,0.004654
56,3238.91,1.94335,2.28115,1.54039,0.73897,0.16054,0.17531,0.08093,2.17687,2.94146,1.73697,0.004555,0.004555,0.004555
57,3298.7,2.02247,2.43695,1.53348,0.71539,0.13636,0.12799,0.05424,2.28389,3.00685,1.82813,0.004456,0.004456,0.004456
58,3358.82,1.98582,2.48696,1.51964,0.75725,0.14286,0.17233,0.07784,2.21924,2.97176,1.74394,0.004357,0.004357,0.004357
59,3418.3,2.00645,2.52143,1.54108,0.87813,0.16883,0.20425,0.08249,2.20252,2.78054,1.7719,0.004258,0.004258,0.004258
60,3476.97,1.93917,2.48518,1.47716,0.74065,0.18078,0.19808,0.0909,2.14307,2.60434,1.69687,0.004159,0.004159,0.004159
61,3536.23,1.9584,2.40228,1.50367,0.79806,0.15584,0.19234,0.09313,2.21212,2.75147,1.73216,0.00406,0.00406,0.00406
62,3595.76,1.98264,2.46636,1.52523,0.82822,0.14935,0.18458,0.09036,2.15277,2.74901,1.73473,0.003961,0.003961,0.003961
63,3654.66,1.89852,2.28415,1.46349,0.23918,0.14286,0.1474,0.06201,2.21579,3.09328,1.74907,0.003862,0.003862,0.003862
64,3713.36,1.9764,2.42872,1.50096,0.29925,0.17139,0.16588,0.06604,2.23584,2.98835,1.78351,0.003763,0.003763,0.003763
65,3770.19,1.92868,2.34458,1.50368,0.24994,0.20406,0.18168,0.07677,2.16651,2.84541,1.73065,0.003664,0.003664,0.003664
66,3827.49,1.9284,2.29284,1.48223,0.27776,0.19481,0.19761,0.09013,2.18614,2.86344,1.77172,0.003565,0.003565,0.003565
67,3885.56,1.83127,2.25444,1.47382,0.26043,0.17809,0.16116,0.06892,2.20466,2.94227,1.7395,0.003466,0.003466,0.003466
68,3943.38,1.86584,2.30492,1.45159,0.81043,0.21269,0.23387,0.09661,2.13381,2.57038,1.69229,0.003367,0.003367,0.003367
69,4003.56,1.88001,2.26573,1.44802,0.84406,0.14935,0.17917,0.08301,2.19332,2.88583,1.73382,0.003268,0.003268,0.003268
70,4061.55,1.87944,2.23119,1.4436,0.25391,0.18831,0.17749,0.08259,2.23134,2.7407,1.72558,0.003169,0.003169,0.003169
71,4120.35,1.87385,2.28446,1.47212,0.82059,0.16883,0.20878,0.09528,2.16659,2.66723,1.67557,0.00307,0.00307,0.00307
72,4179.46,1.80266,2.15362,1.41982,0.60157,0.21056,0.21634,0.09096,2.1081,2.70384,1.72215,0.002971,0.002971,0.002971
73,4237.74,1.80889,2.25081,1.41823,0.71076,0.20683,0.2222,0.10289,2.05303,2.63899,1.68441,0.002872,0.002872,0.002872
74,4297.19,1.76154,2.10192,1.43867,0.39159,0.21742,0.20024,0.09062,2.19154,2.7622,1.77274,0.002773,0.002773,0.002773
75,4354.73,1.87412,2.15776,1.4637,0.66271,0.19108,0.20617,0.07797,2.29814,2.97718,1.84637,0.002674,0.002674,0.002674
76,4412.53,1.81175,2.10009,1.43446,0.4207,0.2393,0.21914,0.09738,2.15913,2.64289,1.75713,0.002575,0.002575,0.002575
77,4471.26,1.86574,2.14395,1.43611,0.38684,0.23834,0.22733,0.10862,2.19159,2.77048,1.72075,0.002476,0.002476,0.002476
78,4530.67,1.81408,2.09732,1.44688,0.3053,0.22258,0.1947,0.08654,2.1904,2.94796,1.7039,0.002377,0.002377,0.002377
79,4589.96,1.78695,2.0754,1.42078,0.61392,0.19108,0.22581,0.10193,2.1647,2.70152,1.7348,0.002278,0.002278,0.002278
80,4648.83,1.85433,2.1738,1.42159,0.41282,0.21056,0.21907,0.09851,2.18082,2.77673,1.71662,0.002179,0.002179,0.002179
81,4707.64,1.72741,2.14206,1.37858,0.35798,0.19123,0.20388,0.09409,2.18781,2.87863,1.76525,0.00208,0.00208,0.00208
82,4766.71,1.72987,2.08442,1.36755,0.41081,0.19108,0.2133,0.10292,2.1838,2.74657,1.74758,0.001981,0.001981,0.001981
83,4824.89,1.76166,2.09899,1.39165,0.41089,0.19757,0.21887,0.09906,2.17759,2.72087,1.72137,0.001882,0.001882,0.001882
84,4883.49,1.75925,2.01208,1.41036,0.66761,0.21609,0.24579,0.10486,2.11444,2.72163,1.69552,0.001783,0.001783,0.001783
85,4941.64,1.7139,2.00697,1.35713,0.70261,0.19757,0.23441,0.1087,2.10358,2.75821,1.69629,0.001684,0.001684,0.001684
86,5001.71,1.72256,1.92766,1.37009,0.37004,0.21982,0.22725,0.10322,2.14177,2.76868,1.70797,0.001585,0.001585,0.001585
87,5061.05,1.68367,1.95332,1.36122,0.71623,0.19108,0.21529,0.09686,2.18331,2.75877,1.74873,0.001486,0.001486,0.001486
88,5119.44,1.66422,1.87247,1.35732,0.37871,0.21332,0.22674,0.10591,2.20375,2.75528,1.76216,0.001387,0.001387,0.001387
89,5177.9,1.74163,1.98856,1.38018,0.49385,0.20683,0.23471,0.10714,2.15229,2.75086,1.74517,0.001288,0.001288,0.001288
90,5237.46,1.64864,1.84708,1.35788,0.56207,0.23184,0.24662,0.11808,2.14838,2.73592,1.73633,0.001189,0.001189,0.001189
91,5300.24,1.723,2.04822,1.35872,0.46144,0.21209,0.23018,0.10598,2.16436,2.81911,1.75923,0.00109,0.00109,0.00109
92,5356.65,1.57222,1.89939,1.33005,0.4457,0.23834,0.236,0.10375,2.11066,2.70759,1.73595,0.000991,0.000991,0.000991
93,5413.3,1.58802,1.8479,1.34247,0.36398,0.2373,0.22958,0.10878,2.11346,2.74785,1.73465,0.000892,0.000892,0.000892
94,5470.42,1.60281,1.86198,1.3603,0.68449,0.19622,0.2384,0.1098,2.18352,2.76655,1.79061,0.000793,0.000793,0.000793
95,5526.98,1.5566,1.72644,1.33994,0.61414,0.19661,0.23204,0.11336,2.18217,2.79915,1.77837,0.000694,0.000694,0.000694
96,5585.32,1.52221,1.70718,1.32878,0.73023,0.19661,0.23403,0.11026,2.20077,2.82162,1.77684,0.000595,0.000595,0.000595
97,5643.11,1.62217,1.90368,1.36084,0.70503,0.19595,0.23391,0.11539,2.17131,2.83273,1.77351,0.000496,0.000496,0.000496
98,5700.76,1.55063,1.89226,1.29861,0.56693,0.21236,0.23212,0.11238,2.15781,2.82256,1.77055,0.000397,0.000397,0.000397
99,5758.58,1.55269,1.74734,1.30784,0.5874,0.21886,0.23695,0.11466,2.16017,2.81187,1.7779,0.000298,0.000298,0.000298
100,5813.44,1.58641,1.70082,1.34792,0.60945,0.21236,0.23642,0.11432,2.18728,2.81751,1.78642,0.000199,0.000199,0.000199
